Date,Price,Open,High,Low,Vol.,Change 
04/08/2018,89.2762,87.1255,89.6495,87.1217,,2.69
04/01/2018,86.9381,87.9204,88.0997,85.7230,,-0.61
03/25/2018,87.4729,87.6360,87.6448,86.6082,,0.04
03/18/2018,87.4415,86.9578,87.7534,86.4325,,0.09
03/11/2018,87.3633,87.9557,88.2469,86.9622,,-0.67
03/04/2018,87.9546,88.3110,89.1999,87.2355,,-0.22
02/25/2018,88.1477,89.1658,89.3601,87.4506,,-0.61
02/18/2018,88.6922,88.3600,88.7252,87.4861,,0.55
02/11/2018,88.2043,86.4783,88.5726,86.1657,,2.99
02/04/2018,85.6442,88.6744,89.0652,85.2975,,-3.90
01/28/2018,89.1213,90.9302,90.9896,88.7830,,-1.85
01/21/2018,90.7999,88.8467,91.1723,88.6469,,2.55
01/14/2018,88.5425,88.9225,88.9233,88.0573,,-0.24
01/07/2018,88.7565,87.9966,88.7871,87.4685,,0.96
12/31/2017,87.9152,88.2850,88.8263,87.8077,,-0.29
12/24/2017,88.1674,85.9251,88.2187,85.9006,,2.82
12/17/2017,85.7451,84.0985,85.7573,84.0985,,2.01
12/10/2017,84.0530,83.9667,84.5013,83.3717,,0.05
12/03/2017,84.0109,86.5828,86.6591,83.6347,,-2.85
11/26/2017,86.4793,87.0426,87.1305,85.6481,,-0.60
11/19/2017,86.9996,86.5205,87.2472,85.9153,,0.27
11/12/2017,86.7657,87.3108,87.5822,85.6366,,-0.59
11/05/2017,87.2811,87.1330,88.2404,87.1191,,0.46
10/29/2017,86.8778,85.9506,87.0577,85.8402,,1.18
10/22/2017,85.8652,85.4542,86.1785,85.0731,,0.70
10/15/2017,85.2688,85.8662,86.3922,85.0271,,-0.73
10/08/2017,85.8947,84.1085,85.9109,83.9132,,2.35
10/01/2017,83.9256,84.3862,84.7989,83.4233,,-0.63
09/24/2017,84.4599,84.7758,85.6772,84.3615,,-0.47
09/17/2017,84.8572,85.4336,85.6706,84.5719,,-0.40
09/10/2017,85.1949,84.7824,85.4314,84.4539,,0.51
09/03/2017,84.7622,85.0159,86.0718,84.6743,,-0.25
08/27/2017,84.9775,83.5552,84.9917,82.9977,,2.02
08/20/2017,83.2926,83.3461,83.7519,82.8785,,0.07
08/13/2017,83.2310,83.5067,83.5737,82.2795,,-0.56
08/06/2017,83.6958,83.4145,84.9759,83.1401,,0.50
07/30/2017,83.2769,84.3557,84.4989,82.9808,,-1.42
07/23/2017,84.4799,82.4698,84.6870,82.4387,,1.80
07/16/2017,82.9880,82.6066,84.1130,82.6015,,0.34
07/09/2017,82.7031,82.3872,83.2960,81.7886,,1.10
07/02/2017,81.8048,82.7692,83.4285,81.6722,,-0.96
06/25/2017,82.6017,80.0348,82.6168,79.4710,,3.72
06/18/2017,79.6382,80.9117,81.2557,79.3459,,-2.01
06/11/2017,81.2691,82.3154,82.4957,80.3031,,-1.40
06/04/2017,82.4213,82.4842,82.7047,81.8787,,0.12
05/28/2017,82.3265,83.7521,83.7521,81.6406,,-2.00
05/21/2017,84.0062,85.0247,85.4574,83.4323,,-0.84
05/14/2017,84.7155,83.5297,84.7287,82.9101,,1.48
05/07/2017,83.4839,82.6350,83.5006,81.9531,,0.97
04/30/2017,82.6787,84.0805,84.5397,81.6728,,-1.59
04/23/2017,84.0128,84.1015,84.4017,83.2345,,0.13
04/16/2017,83.9044,86.3045,86.4395,83.7456,,-2.77
04/09/2017,86.2988,85.6824,86.4599,85.4860,,0.54
04/02/2017,85.8354,85.4373,86.3968,84.6896,,0.57
03/26/2017,85.3508,84.4860,85.7175,83.9439,,0.98
03/19/2017,84.5258,85.0903,85.4356,84.2865,,-0.73
03/12/2017,85.1449,84.4662,85.4159,83.5633,,1.04
03/05/2017,84.2675,87.4853,87.6422,84.1764,,-3.35
02/26/2017,87.1899,87.4601,88.3602,86.8136,,-0.34
02/19/2017,87.4836,88.3657,88.4622,87.1123,,-0.71
02/12/2017,88.1104,89.3525,89.3566,87.8178,,-1.40
02/05/2017,89.3574,88.2313,89.4476,87.5283,,1.61
